sentence_id,words,labels
0,@paulwalk,O
0,It,O
0,'s,O
0,the,O
0,view,O
0,from,O
0,where,O
0,I,O
0,'m,O
0,living,O
0,for,O
0,two,O
0,weeks,O
0,.,O
0,Empire,B-location
0,State,I-location
0,Building,I-location
0,=,O
0,ESB,B-location
0,.,O
0,Pretty,O
0,bad,O
0,storm,O
0,here,O
0,last,O
0,evening,O
0,.,O
,,
1,From,O
1,Green,O
1,Newsfeed,O
1,:,O
1,AHFA,B-group
1,extends,O
1,deadline,O
1,for,O
1,Sage,O
1,Award,O
1,to,O
1,Nov,O
1,.,O
1,5,O
1,http://tinyurl.com/24agj38,O
,,
2,Pxleyes,B-corporation
2,Top,O
2,50,O
2,Photography,O
2,Contest,O
2,Pictures,O
2,of,O
2,August,O
2,2010,O
2,...,O
2,http://bit.ly/bgCyZ0,O
2,#photography,O
,,
3,today,O
3,is,O
3,my,O
3,last,O
3,day,O
3,at,O
3,the,O
3,office,O
3,.,O
,,
4,4Dbling,B-person
4,'s,O
4,place,O
4,til,O
4,monday,O
4,",",O
4,party,O
4,party,O
4,party,O
4,.,O
4,&lt;,O
4,3,O
,,
5,watching,O
5,the,O
5,VMA,B-creative-work
5,pre-show,O
5,again,O
5,lol,O
5,it,O
5,was,O
5,n't,O
5,even,O
5,a,O
5,good,O
5,show,O
5,the,O
5,first,O
5,time,O
5,...,O
5,so,O
5,bored,O
5,!,O
,,
6,27,O
6,followers,O
6,!,O
6,30,O
6,followers,O
6,is,O
6,my,O
6,goal,O
6,for,O
6,today,O
6,!,O
,,
7,This,O
7,is,O
7,the,O
7,2nd,O
7,hospital,O
7,ive,O
7,been,O
7,in,O
7,today,O
7,",",O
7,but,O
7,ive,O
7,just,O
7,seen,O
7,a,O
7,doctor,O
7,who,O
7,was,O
7,an,O
7,older,O
7,version,O
7,of,O
7,justin,O
7,:',O
7,),O
,,
8,Friday,O
8,Night,O
8,Eats,O
8,http://twitpic.com/2pdvtr,O
,,
9,Gotta,O
9,dress,O
9,up,O
9,for,O
9,london,O
9,fashion,O
9,week,O
9,and,O
9,party,O
9,in,O
9,style,O
9,!,O
,,
10,@Suzie55,O
10,whispering,O
10,cause,O
10,I,O
10,may,O
10,have,O
10,had,O
10,1,O
10,too,O
10,many,O
10,vodka,B-product
10,'s,O
10,last,O
10,night,O
10,and,O
10,am,O
10,a,O
10,lil,O
10,fragile,O
10,",",O
10,hold,O
10,me,O
10,?,O
,,
11,#NFL,O
11,Week,O
11,2,O
11,picks,O
11,blog,O
11,is,O
11,up,O
11,on,O
11,@The_Score,O
11,website,O
11,...,O
11,http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/,O
,,
12,I,O
12,like,O
12,@SouljaBoy,O
12,songs,O
12,after,O
12,a,O
12,few,O
12,drinks,O
,,
13,...,O
13,asked,O
13,me,O
13,a,O
13,question,O
13,for,O
13,once,O
13,",",O
13,but,O
13,no,O
13,!,O
13,You,O
13,ask,O
13,me,O
13,about,O
13,fucking,O
13,donuts,O
13,you,O
13,donut,O
13,...,O
13,have,O
13,a,O
13,nice,O
13,day,O
13,:P,O
,,
14,every,O
14,year,O
14,your,O
14,"	O
bestfriend	O
",O
14,get,O
14,yo,O
14,ass,O
14,in,O
14,trouble,O
14,smdh,O
14,#doinme,O
,,
15,RT,O
15,@midgetmegs,O
15,:,O
15,hate,O
15,people,O
15,who,O
15,write,O
15,drunk,O
15,status'.,O
15,must,O
15,be,O
15,having,O
15,a,O
15,great,O
15,time,O
15,if,O
15,your,O
15,sat,O
15,writing,O
15,it,O
15,on,O
15,facebook,B-corporation
15,.....,O
,,
16,@MrzEndy,O
16,tru,O
16,tru,O
16,I,O
16,'m,O
16,leavin,O
16,again,O
16,on,O
16,Tuesday,O
16,yo,O
,,
17,The,O
17,guys,O
17,are,O
17,cooking,O
17,about,O
17,a,O
17,dozen,O
17,pizzas,O
17,at,O
17,our,O
17,house,O
17,for,O
17,the,O
17,tailgate,O
17,tonight,O
17,.,O
17,Nonetheless,O
17,it,O
17,smells,O
17,fresh,O
17,in,O
17,this,O
17,place,O
17,.,O
,,
18,I,O
18,heart,O
18,Park(ing,O
18,),O
18,Day,O
18,!,O
18,Photo,O
18,of,O
18,meter,O
18,shark,O
18,:,O
18,http://bit.ly/aQun1b,O
,,
19,hows,O
19,everyones,O
19,day,O
19,goin,O
19,?,O
,,
20,@Phoebe1_,O
20,and,O
20,i,O
20,also,O
20,loved,O
20,the,O
20,last,O
20,years,O
20,eurovision,O
20,entry,O
20,!!,O
20,hoppaa,O
20,!,O
20,they,O
20,were,O
20,cool,O
20,too,O
20,!!,O
,,
21,MetroPCS,B-corporation
21,has,O
21,the,O
21,worst,O
21,customer,O
21,service,O
21,I,O
21,'ve,O
21,experienced,O
21,in,O
21,months,O
21,(,O
21,trying,O
21,to,O
21,help,O
21,someone,O
21,order,O
21,a,O
21,phone,O
21,),O
21,#metropcs,O
21,#fail,O
,,
22,@xSophieBx,O
22,He,O
22,has,O
22,a,O
22,habit,O
22,of,O
22,tweeting,O
22,at,O
22,the,O
22,same,O
22,time,O
22,as,O
22,you,O
22,lol,O
,,
23,A,O
23,TRUE,O
23,friend,O
23,walks,O
23,in,O
23,when,O
23,everybody,O
23,else,O
23,walks,O
23,out,O
23,!,O
,,
24,Yay,O
24,.,O
24,@penguin,O
24,is,O
24,coming,O
24,to,O
24,see,O
24,me,O
24,next,O
24,week,O
24,...,O
24,plotting,O
24,my,O
24,cooking,O
24,now,O
24,!,O
,,
25,@_mistercory,O
25,*Smiles,O
25,up,O
25,at,O
25,him*,O
25,Can,O
25,we,O
25,just,O
25,...,O
25,sit,O
25,together,O
25,for,O
25,a,O
25,while,O
25,before,O
25,round,O
25,two,O
25,?,O
,,
26,the,O
26,tears,O
26,may,O
26,have,O
26,been,O
26,and,O
26,gone,O
26,",",O
26,but,O
26,the,O
26,feeling,O
26,still,O
26,stay,O
26,the,O
26,same,O
26,.,O
,,
27,@BieberEgypt,O
27,I,O
27,'ve,O
27,got,O
27,some,O
27,bad,O
27,news,O
27,",",O
27,Yeah,O
27,I,O
27,cant,O
27,come,O
27,to,O
27,the,O
27,meeting,O
27,tomorrow,O
27,.,O
27,:,O
27,S,O
,,
28,@abzmedic,O
28,I,O
28,'m,O
28,missing,O
28,autumn,O
28,because,O
28,of,O
28,work,O
28,.,O
28,:(,O
28,I,O
28,must,O
28,get,O
28,into,O
28,the,O
28,forests,O
28,tomorrow,O
28,!,O
,,
29,Fellas,O
29,Do,O
29,n't,O
29,just,O
29,lick,O
29,the,O
29,PussyY,O
29,",",O
29,LOVE,O
29,IT,O
29,!,O
29,enjoy,O
29,it,O
29,.,O
29,like,O
29,u,O
29,just,O
29,got,O
29,married,O
29,&lt;,O
29,the,O
29,preacher,O
29,said,O
29,u,O
29,may,O
29,kiss,O
29,the,O
29,bride,O
,,
30,RT,O
30,@Sexstrology,O
30,:,O
30,Pisces,O
30,tend,O
30,to,O
30,escape,O
30,into,O
30,fantasy,O
30,and,O
30,day,O
30,dreams,O
30,.,O
30,There,O
30,they,O
30,are,O
30,free,O
30,.,O
,,
31,Cant,O
31,wait,O
31,for,O
31,the,O
31,ravens,B-group
31,game,O
31,tomorrow,O
31,....,O
31,go,O
31,ray,B-person
31,rice,I-person
31,!!!!!!!,O
,,
32,I,O
32,just,O
32,took,O
